,airport,type of traffic,2009-Jan,2009-Feb,2009-Mar,2009-Apr,2009-May,2009-Jun,2009-Jul,2009-Aug,2009-Sep,2009-Oct,2009-Nov,2009-Dec,2010-Jan,2010-Feb,2010-Mar,2010-Apr,2010-May,2010-Jun,2010-Jul,2010-Aug,2010-Sep,2010-Oct,2010-Nov,2010-Dec,2011-Jan,2011-Feb,2011-Mar,2011-Apr,2011-May,2011-Jun,2011-Jul,2011-Aug,2011-Sep,2011-Oct,2011-Nov,2011-Dec,2012-Jan,2012-Feb,2012-Mar,2012-Apr,2012-May,2012-Jun,2012-Jul,2012-Aug,2012-Sep,2012-Oct,2012-Nov,2012-Dec,2013-Jan,2013-Feb,2013-Mar,2013-Apr,2013-May,2013-Jun,2013-Jul,2013-Aug,2013-Sep,2013-Oct,2013-Nov,2013-Dec,2014-Jan,2014-Feb,2014-Mar,2014-Apr,2014-May,2014-Jun,2014-Jul,2014-Aug,2014-Sep,2014-Oct,2014-Nov,2014-Dec,2015-Jan,2015-Feb,2015-Mar,2015-Apr,2015-May,2015-Jun,2015-Jul,2015-Aug,2015-Sep,2015-Oct,2015-Nov,2015-Dec,2016-Jan,2016-Feb,2016-Mar,2016-Apr,2016-May,2016-Jun,2016-Jul,2016-Aug,2016-Sep,2016-Oct,2016-Nov,2016-Dec,2017-Jan,2017-Feb,2017-Mar,2017-Apr,2017-May,2017-Jun,2017-Jul,2017-Aug,2017-Sep,2017-Oct,2017-Nov,2017-Dec,2018-Jan,2018-Feb,2018-Mar,2018-Apr,2018-May,2018-Jun,2018-Jul,2018-Aug,2018-Sep,2018-Oct,2018-Nov,2018-Dec,2019-Jan,2019-Feb,2019-Mar,2019-Apr,2019-May,2019-Jun,2019-Jul,2019-Aug,2019-Sep,2019-Oct,2019-Nov,2019-Dec,2020-Jan,2020-Feb,2020-Mar,2020-Apr,2020-Jun,2020-Jul,2020-Aug,2020-Sep,2020-Oct
118,Fagernes Leirin,Non-scheduled passenger flights,269.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,124.0,541.0,393.0,377.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,17.0,0.0,178.0,10.0,556.0,557.0,0.0,0.0,1.0,5.0,104.0,0.0,0.0,2.0,0.0,17.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,382.0,34.0,0.0,0.0,0.0,1.0,32.0,131.0,6.0,0.0,2.0,0.0,535.0,0.0,4.0,1.0,3.0,0.0,13.0,1.0,2.0,2.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,38.0,2.0,100.0,4.0,0.0,144.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,Fagernes Leirin,Scheduled passenger flights,0.0,41.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,861.0,744.0,318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,994.0,765.0,395.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,248.0,1313.0,794.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,584.0,602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,992.0,723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,Florø,Freight,0.0,15.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Florø,Other commercial flights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Florø,"Helicopter, other",0.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,13.0,0.0,12.0,38.0,0.0,12.0,44.0,13.0,4.0,0.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
123,Florø,"Helicopter, other",0.0,0.0,0.0,3.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,13.0,0.0,12.0,38.0,0.0,12.0,44.0,13.0,4.0,0.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
124,Florø,"Helicopter, continental shelf",2560.0,2459.0,2694.0,2660.0,2666.0,2744.0,2966.0,2787.0,2901.0,2964.0,2857.0,2753.0,2737.0,2755.0,3292.0,2244.0,2907.0,3770.0,3661.0,3787.0,3866.0,3210.0,3522.0,3410.0,3306.0,3035.0,3543.0,3272.0,3641.0,3878.0,3423.0,3766.0,4036.0,4042.0,3947.0,3931.0,3553.0,3167.0,3631.0,3221.0,4365.0,3601.0,3696.0,4161.0,4143.0,4475.0,3602.0,3067.0,3650.0,3575.0,4004.0,4272.0,4346.0,4362.0,4448.0,4429.0,4176.0,5083.0,4574.0,3912.0,4499.0,3818.0,4480.0,4715.0,4966.0,4562.0,4976.0,4667.0,4816.0,4486.0,4431.0,3957.0,3693.0,3524.0,4231.0,3711.0,3375.0,3586.0,3824.0,3468.0,3543.0,3978.0,3473.0,3270.0,3414.0,3506.0,3076.0,2624.0,2466.0,2882.0,2619.0,3384.0,3199.0,2724.0,2881.0,2333.0,2186.0,2272.0,2620.0,2190.0,2942.0,2683.0,2291.0,2905.0,2693.0,2700.0,2663.0,2385.0,2845.0,2621.0,2905.0,2664.0,2789.0,2696.0,2686.0,2754.0,2532.0,2949.0,2545.0,2118.0,2358.0,2868.0,2799.0,2777.0,3035.0,2952.0,3237.0,3339.0,3560.0,4408.0,4603.0,4410.0,4707.0,4794.0,3811.0,1456.0,1561.0,1738.0,3029.0,3422.0,3590.0
125,Florø,"Helicopter, continental shelf",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,10.0,0.0,0.0,7.0,0.0,0.0,3.0
126,Florø,"Helicopter, continental shelf",2560.0,2459.0,2694.0,2660.0,2666.0,2744.0,2966.0,2787.0,2901.0,2964.0,2857.0,2753.0,2737.0,2755.0,3292.0,2244.0,2907.0,3770.0,3644.0,3776.0,3849.0,3210.0,3522.0,3410.0,3306.0,3035.0,3543.0,3272.0,3641.0,3878.0,3411.0,3766.0,4018.0,4032.0,3947.0,3931.0,3553.0,3167.0,3631.0,3221.0,4365.0,3601.0,3696.0,4148.0,4143.0,4475.0,3602.0,3067.0,3650.0,3565.0,4004.0,4272.0,4346.0,4362.0,4448.0,4429.0,4176.0,5073.0,4574.0,3912.0,4499.0,3818.0,4480.0,4697.0,4966.0,4562.0,4976.0,4667.0,4816.0,4486.0,4431.0,3942.0,3693.0,3524.0,4214.0,3711.0,3375.0,3586.0,3824.0,3468.0,3543.0,3978.0,3473.0,3270.0,3414.0,3506.0,3076.0,2624.0,2466.0,2882.0,2619.0,3384.0,3199.0,2724.0,2881.0,2333.0,2186.0,2272.0,2620.0,2190.0,2942.0,2671.0,2282.0,2905.0,2693.0,2684.0,2663.0,2385.0,2845.0,2621.0,2905.0,2664.0,2776.0,2682.0,2686.0,2754.0,2532.0,2949.0,2545.0,2118.0,2358.0,2868.0,2785.0,2777.0,3035.0,2952.0,3237.0,3339.0,3560.0,4408.0,4603.0,4410.0,4707.0,4763.0,3801.0,1456.0,1561.0,1731.0,3029.0,3422.0,3587.0
127,Florø,Other commercial flights,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
