"08507: Air transport. Passengers, by airport, type of traffic, domestic/international flights, passenger group, contents and month"

"airport";"type of traffic";"domestic/international flights";"passenger group";"Passengers 2009M01";"Passengers 2009M02";"Passengers 2009M03";"Passengers 2009M04";"Passengers 2009M05";"Passengers 2009M06";"Passengers 2009M07";"Passengers 2009M08";"Passengers 2009M09";"Passengers 2009M10";"Passengers 2009M11";"Passengers 2009M12";"Passengers 2010M01";"Passengers 2010M02";"Passengers 2010M03";"Passengers 2010M04";"Passengers 2010M05";"Passengers 2010M06";"Passengers 2010M07";"Passengers 2010M08";"Passengers 2010M09";"Passengers 2010M10";"Passengers 2010M11";"Passengers 2010M12";"Passengers 2011M01";"Passengers 2011M02";"Passengers 2011M03";"Passengers 2011M04";"Passengers 2011M05";"Passengers 2011M06";"Passengers 2011M07";"Passengers 2011M08";"Passengers 2011M09";"Passengers 2011M10";"Passengers 2011M11";"Passengers 2011M12";"Passengers 2012M01";"Passengers 2012M02";"Passengers 2012M03";"Passengers 2012M04";"Passengers 2012M05";"Passengers 2012M06";"Passengers 2012M07";"Passengers 2012M08";"Passengers 2012M09";"Passengers 2012M10";"Passengers 2012M11";"Passengers 2012M12";"Passengers 2013M01";"Passengers 2013M02";"Passengers 2013M03";"Passengers 2013M04";"Passengers 2013M05";"Passengers 2013M06";"Passengers 2013M07";"Passengers 2013M08";"Passengers 2013M09";"Passengers 2013M10";"Passengers 2013M11";"Passengers 2013M12";"Passengers 2014M01";"Passengers 2014M02";"Passengers 2014M03";"Passengers 2014M04";"Passengers 2014M05";"Passengers 2014M06";"Passengers 2014M07";"Passengers 2014M08";"Passengers 2014M09";"Passengers 2014M10";"Passengers 2014M11";"Passengers 2014M12";"Passengers 2015M01";"Passengers 2015M02";"Passengers 2015M03";"Passengers 2015M04";"Passengers 2015M05";"Passengers 2015M06";"Passengers 2015M07";"Passengers 2015M08";"Passengers 2015M09";"Passengers 2015M10";"Passengers 2015M11";"Passengers 2015M12";"Passengers 2016M01";"Passengers 2016M02";"Passengers 2016M03";"Passengers 2016M04";"Passengers 2016M05";"Passengers 2016M06";"Passengers 2016M07";"Passengers 2016M08";"Passengers 2016M09";"Passengers 2016M10";"Passengers 2016M11";"Passengers 2016M12";"Passengers 2017M01";"Passengers 2017M02";"Passengers 2017M03";"Passengers 2017M04";"Passengers 2017M05";"Passengers 2017M06";"Passengers 2017M07";"Passengers 2017M08";"Passengers 2017M09";"Passengers 2017M10";"Passengers 2017M11";"Passengers 2017M12";"Passengers 2018M01";"Passengers 2018M02";"Passengers 2018M03";"Passengers 2018M04";"Passengers 2018M05";"Passengers 2018M06";"Passengers 2018M07";"Passengers 2018M08";"Passengers 2018M09";"Passengers 2018M10";"Passengers 2018M11";"Passengers 2018M12";"Passengers 2019M01";"Passengers 2019M02";"Passengers 2019M03";"Passengers 2019M04";"Passengers 2019M05";"Passengers 2019M06";"Passengers 2019M07";"Passengers 2019M08";"Passengers 2019M09";"Passengers 2019M10";"Passengers 2019M11";"Passengers 2019M12";"Passengers 2020M01";"Passengers 2020M02";"Passengers 2020M03";"Passengers 2020M04";"Passengers 2020M05";"Passengers 2020M06";"Passengers 2020M07";"Passengers 2020M08";"Passengers 2020M09"
"Bodø";"Helicopter, other";"Domestic flights";"Total passengers on board at departure and arrival";0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;45;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"Bodø";"Helicopter, other";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bodø";"Helicopter, other";"Domestic and international flights";"Total passengers on board at departure and arrival";0;0;0;0;6;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;45;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"Bodø";"Other commercial flights";"Domestic flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;3;0;0;0;0;0;0
"Bodø";"Other commercial flights";"International flights";"Total passengers on board at departure and arrival";0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bodø";"Other commercial flights";"Domestic and international flights";"Total passengers on board at departure and arrival";0;0;0;12;0;0;0;0;0;0;0;4;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;2;0;0;0;0;0;4;0;0;2;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;3;0;0;0;0;0;0
"Brønnøysund Brønnøy";"All commercial flights";"Domestic flights";"Total passengers on board at departure and arrival";10453;11489;12105;10384;11589;12567;13452;11620;12322;12927;12219;10479;10102;12270;15090;11042;13803;15826;15375;14577;14769;14838;14765;12998;12024;13004;15703;14236;14951;14554;15438;16847;18689;19172;16763;16333;14281;15387;15620;14514;17596;17304;17317;16870;15263;17111;17395;14948;16589;14616;14123;16857;15250;19233;20204;19213;16803;16694;14456;12935;12256;13150;14212;14526;15330;14968;15035;13762;13645;14656;13782;12265;10064;11443;14771;12602;13356;14873;15383;13273;13396;13947;12897;11828;10553;11498;12266;12791;14185;15102;16039;14083;14557;14131;12608;11816;11955;11755;13436;10149;10170;11589;11943;11614;9647;10271;10413;10166;10094;10726;12546;12526;12738;13086;13533;11909;12617;12609;11457;9421;9946;9252;11186;11954;12809;12106;15870;14628;11471;11897;11047;10580;10399;11274;7698;6768;7540;11960;15611;11061;10266
"Brønnøysund Brønnøy";"All commercial flights";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;19;15;0;2;0;0;0;0;0;0;0;0;0;18;0;9;0;10;0;14;0;0;0;0;14;0;0;49;17;19;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;40;0;19;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"All commercial flights";"Domestic and international flights";"Total passengers on board at departure and arrival";10453;11489;12105;10384;11589;12567;13452;11620;12341;12942;12219;10481;10102;12270;15090;11042;13803;15826;15375;14577;14769;14856;14765;13007;12024;13014;15703;14250;14951;14554;15438;16847;18703;19172;16763;16382;14298;15406;15620;14514;17596;17304;17334;16870;15263;17111;17395;14948;16589;14616;14123;16857;15250;19233;20244;19213;16822;16694;14456;12960;12256;13150;14212;14526;15330;14968;15035;13762;13645;14656;13782;12265;10064;11443;14771;12602;13356;14873;15383;13273;13396;13947;12897;11828;10553;11498;12266;12791;14185;15102;16039;14083;14557;14131;12608;11816;11955;11755;13436;10149;10170;11589;11943;11614;9647;10271;10413;10166;10094;10726;12546;12526;12738;13086;13533;11909;12617;12609;11469;9421;9946;9252;11186;11954;12809;12106;15870;14628;11471;11897;11047;10580;10399;11274;7698;6768;7540;11960;15611;11061;10266
"Brønnøysund Brønnøy";"Scheduled passenger flights";"Domestic flights";"Total passengers on board at departure and arrival";8743;10116;11092;9516;10715;11470;12578;10853;11136;11579;10623;9613;9107;10564;12197;8898;12049;13960;13452;12235;12623;13100;12790;11230;10554;11246;13160;12446;13822;13577;13918;14548;15467;15988;14150;13461;12745;13706;13742;12940;15705;15213;15343;14978;13513;14939;14716;12432;13931;12891;11992;14091;12261;15639;16105;15454;13804;14444;12855;11353;10516;11599;12599;12514;13407;13872;13771;12772;12677;13149;12435;10900;9276;10622;13319;11605;12279;13856;14618;12480;12440;13139;12187;11123;10020;10882;11609;11575;12816;13389;14448;12763;13120;12937;11484;10811;10821;10820;12655;9114;9368;10553;10772;10290;8963;9254;8650;8727;8462;9008;10216;10267;10473;11056;11263;9603;10241;10580;9649;8005;8285;7884;9497;10017;10900;10899;13379;11997;9429;10071;9030;8513;8312;8725;6109;5541;6807;11013;14605;10084;8676
"Brønnøysund Brønnøy";"Scheduled passenger flights";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Scheduled passenger flights";"Domestic and international flights";"Total passengers on board at departure and arrival";8743;10116;11092;9516;10715;11470;12578;10853;11136;11579;10623;9615;9107;10564;12197;8898;12049;13960;13452;12235;12623;13100;12790;11230;10554;11246;13160;12446;13822;13577;13918;14548;15467;15988;14150;13461;12745;13706;13742;12940;15705;15213;15343;14978;13513;14939;14716;12432;13931;12891;11992;14091;12261;15639;16105;15454;13804;14444;12855;11353;10516;11599;12599;12514;13407;13872;13771;12772;12677;13149;12435;10900;9276;10622;13319;11605;12279;13856;14618;12480;12440;13139;12187;11123;10020;10882;11609;11575;12816;13389;14448;12763;13120;12937;11484;10811;10821;10820;12655;9114;9368;10553;10772;10290;8963;9254;8650;8727;8462;9008;10216;10267;10473;11056;11263;9603;10241;10580;9649;8005;8285;7884;9497;10017;10900;10899;13379;11997;9429;10071;9030;8513;8312;8725;6109;5541;6807;11013;14605;10084;8676
"Brønnøysund Brønnøy";"Non-scheduled passenger flights";"Domestic flights";"Total passengers on board at departure and arrival";0;0;0;3;31;0;0;64;132;92;125;30;21;171;165;149;101;27;0;117;144;143;30;35;66;83;139;41;16;10;22;27;7;0;0;21;15;0;76;0;53;7;0;7;0;0;3;32;0;12;62;30;104;9;7;0;0;0;0;50;0;0;0;30;0;41;0;0;0;0;0;22;0;0;0;0;0;0;66;0;24;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;10;0;33;253;79;121;116;109;213
"Brønnøysund Brønnøy";"Non-scheduled passenger flights";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Non-scheduled passenger flights";"Domestic and international flights";"Total passengers on board at departure and arrival";0;0;0;3;31;0;0;64;132;92;125;30;21;171;165;149;101;27;0;117;144;143;30;35;66;83;139;41;16;10;22;27;7;0;0;21;15;0;76;0;53;7;0;7;0;0;3;32;0;12;62;30;104;9;7;0;0;0;0;50;0;0;0;30;0;41;0;0;0;0;0;22;0;0;0;0;0;0;66;0;24;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;10;0;33;253;79;121;116;109;213
"Brønnøysund Brønnøy";"Freight";"Domestic flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Freight";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Freight";"Domestic and international flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Helicopter, continental shelf";"Domestic flights";"Total passengers on board at departure and arrival";1710;1373;1013;864;843;1097;874;697;1054;1256;1471;836;974;1534;2728;1994;1653;1839;1921;2223;1999;1595;1944;1733;1404;1675;2404;1749;1108;967;1498;2268;3215;3184;2613;2849;1521;1681;1802;1573;1838;2083;1974;1884;1750;2172;2673;2483;2658;1669;2069;2733;2873;3585;4092;3735;2999;2250;1601;1532;1740;1551;1613;1982;1916;1054;1252;990;968;1489;1346;1343;788;821;1452;997;1077;1017;699;767;932;802;710;652;533;616;657;1201;1369;1713;1591;1320;1437;1194;1124;988;1134;935;781;1035;802;1036;1171;1320;684;1017;1763;1439;1632;1718;2330;2259;2265;2011;2268;2303;2348;2029;1808;1416;1661;1368;1689;1934;1909;1207;2490;2631;2034;1826;2017;2040;2075;2549;1556;974;654;826;890;868;1377
"Brønnøysund Brønnøy";"Helicopter, continental shelf";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;19;15;0;0;0;0;0;0;0;0;0;0;0;18;0;9;0;10;0;14;0;0;0;0;14;0;0;49;17;19;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;40;0;19;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Helicopter, continental shelf";"Domestic and international flights";"Total passengers on board at departure and arrival";1710;1373;1013;864;843;1097;874;697;1073;1271;1471;836;974;1534;2728;1994;1653;1839;1921;2223;1999;1613;1944;1742;1404;1685;2404;1763;1108;967;1498;2268;3229;3184;2613;2898;1538;1700;1802;1573;1838;2083;1991;1884;1750;2172;2673;2483;2658;1669;2069;2733;2873;3585;4132;3735;3018;2250;1601;1557;1740;1551;1613;1982;1916;1054;1252;990;968;1489;1346;1343;788;821;1452;997;1077;1017;699;767;932;802;710;652;533;616;657;1201;1369;1713;1591;1320;1437;1194;1124;988;1134;935;781;1035;802;1036;1171;1320;684;1017;1763;1439;1632;1718;2330;2259;2265;2011;2268;2303;2348;2029;1820;1416;1661;1368;1689;1934;1909;1207;2490;2631;2034;1826;2017;2040;2075;2549;1556;974;654;826;890;868;1377
"Brønnøysund Brønnøy";"Helicopter, other";"Domestic flights";"Total passengers on board at departure and arrival";0;0;0;1;0;0;0;6;0;0;0;0;0;1;0;1;0;0;2;0;3;0;1;0;0;0;0;0;5;0;0;4;0;0;0;2;0;0;0;1;0;1;0;1;0;0;3;1;0;44;0;3;12;0;0;24;0;0;0;0;0;0;0;0;7;1;12;0;0;18;1;0;0;0;0;0;0;0;0;26;0;6;0;0;0;0;0;15;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;19;2;3;0;0;0;0;0;0;0;3;0;0;1;0;8;0;0;0;2;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Helicopter, other";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Helicopter, other";"Domestic and international flights";"Total passengers on board at departure and arrival";0;0;0;1;0;0;0;6;0;0;0;0;0;1;0;1;0;0;2;0;3;0;1;0;0;0;0;0;5;0;0;4;0;0;0;2;0;0;0;1;0;1;0;1;0;0;3;1;0;44;0;3;12;0;0;24;0;0;0;0;0;0;0;0;7;1;12;0;0;18;1;0;0;0;0;0;0;0;0;26;0;6;0;0;0;0;0;15;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;19;2;3;0;0;0;0;0;0;0;3;0;0;1;0;8;0;0;0;2;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Other commercial flights";"Domestic flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Other commercial flights";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Brønnøysund Brønnøy";"Other commercial flights";"Domestic and international flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Båtsfjord";"All commercial flights";"Domestic flights";"Total passengers on board at departure and arrival";3036;3154;3782;3410;3142;3329;3474;3169;3562;4070;3568;3213;3463;3294;3726;2261;2961;3213;3385;2936;3156;3498;3406;3120;2860;3248;3303;3235;3443;3479;3318;3556;3580;3637;3045;2800;3066;3244;3278;3091;3494;3037;3498;3874;3356;3677;3281;2984;2989;3349;3569;2818;1919;3640;3490;3632;3611;3777;2901;2910;3352;2883;3459;3316;3403;3668;3020;3551;3343;3245;3108;2934;3016;2594;3296;3191;3464;3739;3489;3432;3457;3960;3463;3197;3067;3141;1837;3597;3875;3593;2974;4000;4011;4122;3834;3551;3212;3234;3680;3311;3840;3672;3019;3544;3703;3966;3739;3250;3306;3292;3402;3555;3117;3226;3127;4095;3230;3672;3552;3084;3554;3034;3531;2943;3345;3536;3331;3308;3436;3621;2911;2849;3253;2938;2005;1100;2190;2171;2851;3078;4137
"Båtsfjord";"All commercial flights";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Båtsfjord";"All commercial flights";"Domestic and international flights";"Total passengers on board at departure and arrival";3036;3154;3782;3410;3142;3329;3474;3169;3562;4070;3568;3213;3463;3294;3726;2261;2961;3213;3385;2936;3156;3498;3406;3120;2860;3248;3303;3235;3443;3479;3318;3556;3580;3637;3045;2800;3066;3244;3278;3091;3494;3037;3498;3874;3356;3677;3281;2984;2989;3349;3569;2818;1919;3640;3490;3632;3611;3777;2901;2910;3352;2883;3459;3316;3403;3668;3020;3551;3343;3245;3108;2934;3016;2594;3296;3191;3464;3739;3489;3432;3457;3960;3463;3197;3067;3141;1837;3597;3875;3593;2974;4000;4011;4122;3834;3551;3212;3234;3680;3311;3840;3672;3019;3544;3703;3966;3739;3250;3306;3292;3402;3555;3117;3226;3127;4095;3230;3672;3552;3084;3554;3034;3531;2943;3345;3536;3331;3308;3436;3621;2911;2849;3253;2938;2005;1100;2190;2171;2851;3078;4137
"Båtsfjord";"Scheduled passenger flights";"Domestic flights";"Total passengers on board at departure and arrival";3036;3154;3782;3410;3142;3329;3474;3169;3562;4070;3568;3213;3463;3294;3726;2261;2961;3213;3385;2936;3156;3498;3406;3120;2860;3248;3303;3235;3443;3479;3318;3556;3580;3637;3045;2800;3066;3244;3278;3091;3494;3037;3498;3874;3356;3677;3281;2984;2989;3349;3569;2818;1919;3640;3490;3632;3611;3777;2901;2910;3352;2883;3459;3316;3403;3599;3020;3551;3343;3245;3108;2934;3016;2531;3241;3191;3464;3739;3489;3432;3457;3960;3463;3197;3067;3141;1837;3597;3875;3593;2974;4000;4011;4122;3834;3551;3212;3234;3680;3311;3840;3672;3019;3544;3646;3966;3739;3250;3306;3292;3402;3555;3117;3226;3127;4095;3230;3672;3552;3084;3554;3034;3531;2943;3345;3536;3331;3308;3436;3621;2911;2849;3253;2938;2005;1100;2190;2171;2851;3078;4137
"Båtsfjord";"Scheduled passenger flights";"International flights";"Total passengers on board at departure and arrival";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Båtsfjord";"Scheduled passenger flights";"Domestic and international flights";"Total passengers on board at departure and arrival";3036;3154;3782;3410;3142;3329;3474;3169;3562;4070;3568;3213;3463;3294;3726;2261;2961;3213;3385;2936;3156;3498;3406;3120;2860;3248;3303;3235;3443;3479;3318;3556;3580;3637;3045;2800;3066;3244;3278;3091;3494;3037;3498;3874;3356;3677;3281;2984;2989;3349;3569;2818;1919;3640;3490;3632;3611;3777;2901;2910;3352;2883;3459;3316;3403;3599;3020;3551;3343;3245;3108;2934;3016;2531;3241;3191;3464;3739;3489;3432;3457;3960;3463;3197;3067;3141;1837;3597;3875;3593;2974;4000;4011;4122;3834;3551;3212;3234;3680;3311;3840;3672;3019;3544;3646;3966;3739;3250;3306;3292;3402;3555;3117;3226;3127;4095;3230;3672;3552;3084;3554;3034;3531;2943;3345;3536;3331;3308;3436;3621;2911;2849;3253;2938;2005;1100;2190;2171;2851;3078;4137
